year,name
1778,ELISABETH HAYNES
1778,GEORGE BAYLOR
1778,WILLIAM ROYAL
1778,PRICE DAVIS
1778,DAVID LLOYD  SR
1778,THOMAS COLSON
1778,RICHARD HIPKINS
1778,LEROY HIPKINS
1778,THOMAS WILLIAMSON
1778,JAMES HOLT
1778,JNO  P  CUSTIS
1778,SAMUEL GRIFFIN
1778,WILLIAM ARMISTEAD
1778,WILLIAM ARMISTEAD  JR
1778,ROBERT EWING
1778,ISAAC WEBB
1778,TRUSTEES OF ARCH  MCPHERSON
1778,SAMUEL PETE
1778,BENJAMIN RUFFIN  JR
1778,JOHN CARTER
1778,WILLIAM HOPKINS
1778,RICHMOND ALLEN
1778,GEORGE PURDIE
1778,DANIEL MABRY
1778,FIELDING LEWIS
1778,EDWARD WILKINSON
1778,WILLIAM PEACHY
1778,WILLIAM FINNIE
1778,JOHN HON
1778,EDWARD KER
1778,GEORGE WASHINGTON  ESQR
1778,PHILIP L  LEE EST
1778,EXRS  PHILIP L  LEE
1778,WILLIAM COUTTS
1778,MARGARET TAYLOR
1778,JAMES GILCHRIST
1778,JAMES SIMS
1778,RICHARD BROWN
1778,ANNA POTLOCK
1778,JOHN EDMONDSON
1778,JOHN CHINN
1778,JAMES MCCLURG
1778,HANNAH DANGERFIELD
1778,LEROY PEACHY
1778,SOLOMON ROBERTSON
1778,JAMES COCKE
1778,JOHN TUBERVILLE
1778,JOHN RIDDICH
1778,JAMES CARLYLE
1778,ALEXANDER BELMAIN
1778,THEOD  BLAND
1778,ANNE HODGES
1778,LEVIN TEAKLE
1778,JOHN  HEON
1778,JOHN JACKSON
1778,WILLIAM RODHAM KENNAR EST
1778,ELIZABETH KENNAR
1778,MATTHEW MYERS
1778,JOHN DUNLAP
1778,MILDRED LIGHTFOOT
1778,ROBERT CARTER
1778,WILLIAM LEE
1778,ATKINSONS EXECUTORS
1778,ALEXANDER ST CLAIR
1778,FRANCIS LIGHTFOOT LEE
1778,NICHOLAS SCOVEMONT
1778,LEWIS WILLIS
1778,ST  GEORGE PARISH
1778,JAMES MERCER
