year,name
1777,GEORGE HANDY
1777,MARY CARROLL
1777,JOHN ROGERS
1777,MICHAEL PEW
1777,MARY MCCULLOCH
1777,JANE STEUART
1777,MARGARET ELZEY
1777,JAMES WEEMS
1777,JOSHUA PRAZIER
1777,ROGERS AND COOKE
1777,WILLIAM HORSEY
1777,NICHOLAS NORMAN
1777,WALLACE AND DAVIDSON
1777,OUTERBRIDGE HORSEY
1777,JAMES ELZEY
1777,VACHEL WHITE
1777,JAMES BROOKES
1777,ANN GOVANE
1777,RICHARD BARNES
1778,MICHAEL PEW
1778,JAMES ELZEY
1778,ABRAHAM VANBIBBER
1778,JOHN ROGERS
1778,GERRARD ALEXANDER
1778,JAMES BROOKS
1778,JAMES WEEMS
1778,CASSANDRA PIERCE
1778,SABINA RUMSEY
1778,MARGARET ELZEY
1778,BENJAMIN RUMSEY
1778,SABINA RIGBY
1778,ROGERS AND COOKE
1778,WILLIAM PACA
1778,JOHN CONTEE
1778,RICHARD GRAVES
1778,JAMES STORITT
1778,EBENEZER REYNER
1778,WILLIAM SMITH
1778,THOMAS NEAL
1778,FRANCIS WILLIAMS
1778,BENJAMIN BREVARD
1778,BENJAMIN MACKALL
1778,JEREMIAH T CHASE
1778,NICHOLAS NORMAN
1778,JOHN DAY
1778,JOHN RUMSEY
1778,JAMES STERRETT
1778,JOHN WEEMS
1778,WILLIAM L WEEMS
1778,JOHN BAKER
1778,ROGER BROOKE
1778,JOHN ARCHER
1778,SAMUEL THOMAS
1778,ISAAC VANBIBBER
1778,MASSACHUSETTS MILNER AND HAINES
1778,THOMAS BURK
1778,JOSEPH VEAZEY
1778,SAMUEL MILNER
1778,JOHN VERSHUUR
1778,SIMON ASHMAN
1778,THOMAS RAMSEY
1778,EDWARD BANCROFT AT PARIS
1778,JOHN RAMSEY
1778,MISS REBECCA MERCER HASLET
1778,MARGARET BROOKE
1778,ANN ELZEY
1778,ADAM GRAY
1778,FOSTER BASCOMB BERMUDA
1778,DANIEL LANNSLEN BERMUDA
1778,DARRELL LARINGSTON BERMUDA
1778,HENRY BROOKE
1778,CAPT SAMUEL WILMAN AND CO.
1778,HARRIS WOOD AND WAINRIGHT
1778,JOHN WAINRIGHT
1778,SAMUEL WILMAN
1778,ROBERT BISHOP
