year,name
1777,NEWARK ACADEMY
1777,ELEANOR MARSHAL
1777,ANN ARMSTRONG
1777,SARAH ALLISON
1777,THOMAS MCKEAN
1777,FRANCIS JOHNSON
1777,JOHN PASSMORE
1777,ALEXANDER MCBEATH
1777,RICHARD RICHARDSON
1777,JOHN MCKENLY
1777,SAMUEL WILSON
1777,ANN CLAY
1777,ZACHARIAH VANLEUVNIGH
1777,READ AND GILPIN
1777,THOMAS MONTGOMERY
1777,JAMES JAMES
1777,SARAH MCCALMONT
1777,ROBERT BRYAN
1777,ELIAS BOYS
1777,CHARLES WILLIAMS
1779,JONATHAN RUMFORD
1779,JOHN PASSMORE
1779,JOHN CLOWES
1779,WILLIAM PASSMORE
1779,JOHN TAYLOR
1779,GEORGE REED
1779,SAMUEL RUTH
1779,THOMAS MOORE
1779,HANNAH BRYAN
1779,MARY WALLACE
1779,AGNES STEEL
1779,WILLIAM GALAHGER
1779,MARGARET ERVIN
1779,JAMES BLACK
1779,JOSEPH ENGLAND
1779,JOHN ALEXANDER
1779,AMOS ALEXANDER
1779,WILLIAM ROBESON
1779,JOHN LEA
1779,BENJAMIN BRWARD
1779,CHARLES WILLIAMS
1779,REBECCA ARMITAGE
1779,MARY ARMITAGE
1779,THOMAS MONTGOMERY
1779,ISRAEL GILPIN
1779,HUGH SMITH
1779,RICHARD CANTWELL
1779,BENJAMIN COSK
1779,THOMAS MCDONOUGH
1779,LETILICE VANDYKE
1779,NICHOLAS VANDYKE
1779,DAVID STEWART
1779,LAMUEL BUSH
1779,JAMES BOLDEN
1779,NATHANIEL BOLDEN
1779,THEODORE MAURICE
1779,JOHN BARCLAY
1779,ROBERT MORRISON
1779,HUGH THOMPSON
1779,ADAM BARR
1779,JONAS CHAMBERS
1779,ARNOLD NAUDINE
1779,WILLIAM MOORE
1779,NEHEMIAH DELAPLAIN
1779,WILLIAM PEERY
1779,ANDREW MCILVAINE
1779,ELIZABETH WAPLES
1779,WILLIAM HEMMINGS
1779,JOHN BRITTAIN
1779,WILLIAM RASIN
1779,JOSEPH WILLIAMS
1779,HENRY BRYAN
1779,ISABELL BRYAN
1779,JOSHUA DONAHO
1779,JOHN JONES
1779,WILLIAM KILLEN
1779,DAVID FINNEY
1779,MATTHEW HENDERSON
1779,WILLIAM SHIPLEY
1779,JOHN PARK
1779,SARAH MARSHAL
1779,ANN ARMSTRONG
1779,JOHN MCKINLY
1779,MARY READ
1779,GEORGE READ
1779,RUTH BILLINGSBY
1779,GEORGE GELLESPIE
1779,GEORGE CRAGHEAD
1779,LEVIN DERICKSON
1779,LEVIN AND JOS DERICKSON
1779,WILLIAM POLK
1779,WILLIAM TAYLOR
1779,THOMAS WALLACE
1779,WILLIAM BROWN
1779,CAESAR RODNEY
1779,WILLIAM SHEPLEY
1779,JOHN MCCRERY
1779,JAMES LATIMER
1779,MARGARET EVANS
1779,ELEANOR ALEXANDER
1779,SAMUEL WILSON
1779,ALEXANDER SCOTT
1779,WILLIAM MORRIS
1779,TOBIAS RUDOLPH
1779,JOSHUA DONOHO
1779,SAMUEL CAMPBELL
1779,DAVID BUSH
1779,CHARLES POLK
1779,JOHN SCOTT
1779,JOSEPH BENNET
1779,JACOB BROOM
1779,REBECCA HOLT
1779,GUNNING BEDFORD
1779,THOMAS CROW
1779,JOHN CROWFORD
1779,JAMES ATKINSON
1779,JOSEPH SHALCROSS
1779,SAMPSON CURRIER
1779,JOHN BANNING
1779,JOHN GOLDEN
1779,ROBERT MCINTIRE
1779,JANE LOCKERMAN
1779,ELEAZER MCCOMB
1779,ROBERT PEACE
1779,AGNES STEELE
1779,THEODORE ALAURICE
1779,WILLIAM CARPENTER
1779,JOHN PURCHASE
1779,JOSEPH GALLOWAY
1779,DAVID JAMISON
1779,JOHN THOMPSON
1779,WILLIAM CLANCY
1779,JAMES EAVES
1779,JOHN STRAWBRIDGE
1779,ISAAC GRANTHAM
1779,RICHARD RICHARDSON
1779,JOHN RICHARDSON
1779,JOHN HAMILTON
1779,JOHN HAMMILTON
1779,JOHN MCCLURE
1779,JAMES MCCORKEL
1779,SAMUEL MCCLINTOCK
1779,NEHEMIAH SILTON
1779,JOHN BARNABY
1779,JAMES BUCHANAN
1779,THOMAS RODWELL
1779,ALEXANDER KINKEAD
1779,THOMAS ROTHWELL
1779,JOHN CLARK
1779,JANE MCMECHIN
1779,GEORGE RUSSEL
1779,WILLIAM JOHNSON
1779,HUGH MOORE
1779,ISAAC LAVIS
1779,JAMES COOPER
1779,JOHN RUTH
1779,JOHN AUGUSTA
1779,RICHARD JAMISON
1779,NEHEMIAH TILTON
1779,ALEXANDER RINKEAD
1779,GLAN AND MCCLAY
1779,ROBERT ROWLAND
1779,GEORGE GILLESPIE
1779,WILLIAM ARMSTRONG
1779,EDWARD AND REBECCA ARMSTRONG
1779,THOMAS KAIN
1779,ROBERT SHIELDS
1779,WILLIAM HARVEY
1779,JOHN GARRET
1779,ROBERT MCMURPHY
1779,DAVID BRINTON
1779,JAMES MCMULLEN
1779,MARGARET JOHNSON
1779,JAMES ARMSTRONG
1779,PETER LOWBER
1779,JOHN TOPPIN
1779,THOMAS IRONS
1779,ROBERT PIERCE
1779,ROBERT GARDNER
1780,THOMAS MONTGOMERY
1780,JAMES EVES
1780,THOMAS MCDONOUGH
1780,JAMES FINLEY
1780,HUGH BLACK
1780,JOHN LAWSON
1780,GEORGE LAWSON
1780,JOHN MACKEY
