year,name
1777,ISSAC ROOSEVELT
1777,MARGARET TEN EYCK
1777,JANNETJE CUYLER
1777,HARME GANSEVOORT
1777,HENDRICK H VAN WIE
1777,MARGARET TEN BROECK
1777,CORNELIUS WENDELL
1777,JOHN GANSEVOORT
1777,ABRAHAM TEN BROECK
1777,PETER GANSEVOORT
1777,WILLIAM WINNE
1777,NICHOLAS HERKIMER
1777,NICHOLAS HARKIMER
1777,JACOB TEN EYCK
1777,WILHELMUS MANCIUS
1777,HENDRICK QUACKENBOSS
1777,ABRAHAM G LANSINGH
1777,GARRET J LANSINGH
1777,KILLIAN VAN RENSELAER
1777,JOHN H BECKMAN
1777,JOHN H. BECKMAN
1777,JOHN M BECKMAN
1777,MARGARET RICHARDS
1777,CATHARINE CUYLER
1777,JACOB CUYLER
1777,CHRISTOPHER LANSINGH
1777,PETER DE WANDELAER
1777,AREANTIE WENDELL
1777,JACOB VAN SCHAICK
1777,JOHN S. BRONCK
1777,GERRIT LANSINGH
1777,CATHERINE VAN SLYCK
1777,JOHANNIS ROSEBOOM
1777,JACOB J LANSINGH
1777,HENRY K VAN RENSELAER
1777,JACOB LANSINGH
1777,JOHN DE PEYSTER
1777,TEUNIS T VAN VEGHTEN
1777,LUCAS VAN VEGHTEN
1777,GERARDUS BECKMAN
1777,JOHN BARCLAY
1777,CATHARINE DOUER
1777,ARENT VAN SCHAACK
1777,BARENT TEN EYCK
1777,JACOB LANSING
1777,JOHANNIS BAAL
1777,ROBERT RAY
1777,JOHN SAUNDERS
1777,PHILIP VAN RENSELAER
1777,ELSEY EVERSON
1777,WESSEL VAN SCHAICK
1777,JOHN JACOB BECKMAN
1777,JACOB C. TEN EYCK
1777,ISAAC ROSEVELT
1777,JAMES VERNOR
1777,ABRAHAM CUYLER
1777,EVERT WYNKOOP SWART
1777,MASS BLOEMEDAL
1777,ABRAHAM A. LANSING
1777,JOHN JACOB LANSING
1777,REYNIOR MYNDERSE
1777,JACOBUS S. BRUYN
1777,JAMES BECKMAN
1777,WILLIAM BECKMAN
1777,MYNDERT VAN SCHAICK
1777,ABRAHAM VAN DEURSEN
1777,JACOBUS LEFFERTS
1777,MARY BRINKERHOFF
1777,ABRAHAM BRINKERHOFF
1777,PHILIP DE FREEST
1777,ALEXANDER MILLER
1777,ABRAHAM HASBROUCK
1777,JACOB TURK
1777,TEUNIS VAN VECHTEN
1777,JACOB VAN WOERT
1777,JOHANNIS BECKMAN
1777,TOBAIS TEN EYCK
1777,ALBERTUS VAN LOAN
1777,JOHANNIS JACOB LANSING
1777,ANTHONY J. TEN EYCK
1777,RYNIER JACOB VAN IVEREN
1777,HENDRICK VAN NESS
