name,url,county
JOHN BUTLER,https://www.ancestrylibrary.com/search/collections/2234/?name=JOHN_BUTLER&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,"Chesterfield Township, Burlington County,New Jersey"
ROBERT BRIDGES,https://www.ancestrylibrary.com/search/collections/2234/?name=ROBERT_BRIDGES&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,
JEMIME BRIDGES,https://www.ancestrylibrary.com/search/collections/2234/?name=JEMIME_BRIDGES&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,
JONATHAN ROBERTSON,https://www.ancestrylibrary.com/search/collections/2234/?name=JONATHAN_ROBERTSON&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,
JOHN MORTON,https://www.ancestrylibrary.com/search/collections/2234/?name=JOHN_MORTON&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,
THOMAS FARR,https://www.ancestrylibrary.com/search/collections/2234/?name=THOMAS_FARR&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,
THOMAS COX,https://www.ancestrylibrary.com/search/collections/2234/?name=THOMAS_COX&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,"Perth Amboy,New Jersey"
SILAS EAYNES,https://www.ancestrylibrary.com/search/collections/2234/?name=SILAS_EAYNES&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,
DANIEL MOORES,https://www.ancestrylibrary.com/search/collections/2234/?name=DANIEL_MOORES&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,"Essex and Middlesex Counties,New Jersey"
HENDRICK WILSON,https://www.ancestrylibrary.com/search/collections/2234/?name=HENDRICK_WILSON&event=1777&event_x=10-0-0&name_x=1_1&residence=_new+jersey-usa_33&residence_x=_1-0,
