name,url,county
EDMUND SAWYER,https://www.ancestrylibrary.com/search/collections/5058/?name=EDMUND_SAWYER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Warner, Hillsborough,New Hampshire"
SAMUEL BARRETT,https://www.ancestrylibrary.com/search/collections/5058/?name=SAMUEL_BARRETT&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
TOBIAS LEAR,https://www.ancestrylibrary.com/search/collections/5058/?name=TOBIAS_LEAR&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
JOHN LANGDON,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_LANGDON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
SUPPLY CLAP,https://www.ancestrylibrary.com/search/collections/5058/?name=SUPPLY_CLAP&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
WILLIAM GARDNER,https://www.ancestrylibrary.com/search/collections/5058/?name=WILLIAM_GARDNER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Rindge, Cheshire,New Hampshire"
MATTHEW THORNTON,https://www.ancestrylibrary.com/search/collections/5058/?name=MATTHEW_THORNTON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Merrimac, Hillsborough,New Hampshire"
PHILLIP WHITE,https://www.ancestrylibrary.com/search/collections/5058/?name=PHILLIP_WHITE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Claremont, Cheshire,New Hampshire"
JOSEPH BADGER,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSEPH_BADGER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Gilmantown, Strafford,New Hampshire"
STEPHEN GORHAM,https://www.ancestrylibrary.com/search/collections/5058/?name=STEPHEN_GORHAM&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
ELIZABETH SPARHAWK,https://www.ancestrylibrary.com/search/collections/5058/?name=ELIZABETH_SPARHAWK&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
TIMOTHY WALKER,https://www.ancestrylibrary.com/search/collections/5058/?name=TIMOTHY_WALKER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Bartlett, Grafton,New Hampshire"
SAMUEL BUTTERS,https://www.ancestrylibrary.com/search/collections/5058/?name=SAMUEL_BUTTERS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
THOMAS ODIORNE,https://www.ancestrylibrary.com/search/collections/5058/?name=THOMAS_ODIORNE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Exeter, Rockingham,New Hampshire"
ANNA WHITE,https://www.ancestrylibrary.com/search/collections/5058/?name=ANNA_WHITE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
MARY WHITE,https://www.ancestrylibrary.com/search/collections/5058/?name=MARY_WHITE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Plaistow, Rockingham,New Hampshire"
SAMUEL WHITE,https://www.ancestrylibrary.com/search/collections/5058/?name=SAMUEL_WHITE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Packersfield, Cheshire,New Hampshire"
PHILLIPS,https://www.ancestrylibrary.com/search/collections/5058/?name=PHILLIPS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Charlestown, Cheshire,New Hampshire"
SARAH THICKS,https://www.ancestrylibrary.com/search/collections/5058/?name=SARAH_THICKS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
AMMI R CUTTER,https://www.ancestrylibrary.com/search/collections/5058/?name=AMMI_R_CUTTER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
NATHANIEL TREADWELL,https://www.ancestrylibrary.com/search/collections/5058/?name=NATHANIEL_TREADWELL&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
SIMEON SADD,https://www.ancestrylibrary.com/search/collections/5058/?name=SIMEON_SADD&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
WILLIAM MOULTON,https://www.ancestrylibrary.com/search/collections/5058/?name=WILLIAM_MOULTON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Dartmouth, Grafton,New Hampshire"
JEREMIAH FOGG,https://www.ancestrylibrary.com/search/collections/5058/?name=JEREMIAH_FOGG&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Dearing, Hillsborough,New Hampshire"
GEORGE KING,https://www.ancestrylibrary.com/search/collections/5058/?name=GEORGE_KING&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
JOSHUA BRACKETT,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSHUA_BRACKETT&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Greenland, Rockingham,New Hampshire"
WILLIAM APPLETON,https://www.ancestrylibrary.com/search/collections/5058/?name=WILLIAM_APPLETON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
ENOCH SAWYER,https://www.ancestrylibrary.com/search/collections/5058/?name=ENOCH_SAWYER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Goffstown, Hillsborough,New Hampshire"
THEODORE ATKINSON,https://www.ancestrylibrary.com/search/collections/5058/?name=THEODORE_ATKINSON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
BENJAMIN BELLOWS,https://www.ancestrylibrary.com/search/collections/5058/?name=BENJAMIN_BELLOWS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Walpole, Cheshire,New Hampshire"
NATHANIEL CARTER,https://www.ancestrylibrary.com/search/collections/5058/?name=NATHANIEL_CARTER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
DAVID GRIFFITH,https://www.ancestrylibrary.com/search/collections/5058/?name=DAVID_GRIFFITH&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Swanzey, Cheshire,New Hampshire"
ELIZABETH WALLINGFORD,https://www.ancestrylibrary.com/search/collections/5058/?name=ELIZABETH_WALLINGFORD&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
NATHANIEL PEABODY,https://www.ancestrylibrary.com/search/collections/5058/?name=NATHANIEL_PEABODY&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
JOHN WENTWORTH,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_WENTWORTH&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Rochester, Strafford,New Hampshire"
ELIZABETH SHERBURNE,https://www.ancestrylibrary.com/search/collections/5058/?name=ELIZABETH_SHERBURNE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
JOHN MOFFATT,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_MOFFATT&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
THOMAS MARTIN,https://www.ancestrylibrary.com/search/collections/5058/?name=THOMAS_MARTIN&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
CALEB NOYES,https://www.ancestrylibrary.com/search/collections/5058/?name=CALEB_NOYES&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Atkinson, Rockingham,New Hampshire"
JOHN DEARBORN,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_DEARBORN&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Chester, Rockingham,New Hampshire"
PENTICOST BLACKINGTON,https://www.ancestrylibrary.com/search/collections/5058/?name=PENTICOST_BLACKINGTON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
JOSEPH COOPER,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSEPH_COOPER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
JOHN WARD GILMAN,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_WARD_GILMAN&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Salisbury, Hillsborough,New Hampshire"
THOMAS WALDON,https://www.ancestrylibrary.com/search/collections/5058/?name=THOMAS_WALDON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
JOSHUA WENTWORTH,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSHUA_WENTWORTH&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
DANIEL GILMAN,https://www.ancestrylibrary.com/search/collections/5058/?name=DANIEL_GILMAN&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
WILLIAM GUNNISON,https://www.ancestrylibrary.com/search/collections/5058/?name=WILLIAM_GUNNISON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
JOSEPH CRAM,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSEPH_CRAM&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Exeter, Rockingham,New Hampshire"
SARAH HICKS,https://www.ancestrylibrary.com/search/collections/5058/?name=SARAH_HICKS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
SAMUEL SITTLE,https://www.ancestrylibrary.com/search/collections/5058/?name=SAMUEL_SITTLE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
NATHANIEL FOLSOM,https://www.ancestrylibrary.com/search/collections/5058/?name=NATHANIEL_FOLSOM&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
JOHN HAVEN,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_HAVEN&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Exeter, Rockingham,New Hampshire"
JAMES PIKE,https://www.ancestrylibrary.com/search/collections/5058/?name=JAMES_PIKE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Goffstown, Hillsborough,New Hampshire"
WILLIAM VANS,https://www.ancestrylibrary.com/search/collections/5058/?name=WILLIAM_VANS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
NATHANIEL NOYES,https://www.ancestrylibrary.com/search/collections/5058/?name=NATHANIEL_NOYES&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Londonderry, Rockingham,New Hampshire"
ELIZABETH SOWELL,https://www.ancestrylibrary.com/search/collections/5058/?name=ELIZABETH_SOWELL&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
NATHANIEL APPLETON,https://www.ancestrylibrary.com/search/collections/5058/?name=NATHANIEL_APPLETON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
JOSEPH DODGE,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSEPH_DODGE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Stoddard, Cheshire,New Hampshire"
SAMUEL PENHALLOW,https://www.ancestrylibrary.com/search/collections/5058/?name=SAMUEL_PENHALLOW&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
JOHN MOFFAL,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_MOFFAL&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
BENJAMIN CRAM,https://www.ancestrylibrary.com/search/collections/5058/?name=BENJAMIN_CRAM&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Brintwood, Rockingham,New Hampshire"
KICHARD CHAMPNEY,https://www.ancestrylibrary.com/search/collections/5058/?name=KICHARD_CHAMPNEY&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
HALL JACKSON,https://www.ancestrylibrary.com/search/collections/5058/?name=HALL_JACKSON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
ABEL SAWYER,https://www.ancestrylibrary.com/search/collections/5058/?name=ABEL_SAWYER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Orford, Grafton,New Hampshire"
EBENZER STORER,https://www.ancestrylibrary.com/search/collections/5058/?name=EBENZER_STORER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
BENJAMIN HAYES,https://www.ancestrylibrary.com/search/collections/5058/?name=BENJAMIN_HAYES&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
LARKIN THORNDIKE,https://www.ancestrylibrary.com/search/collections/5058/?name=LARKIN_THORNDIKE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
MOSES DAVIS,https://www.ancestrylibrary.com/search/collections/5058/?name=MOSES_DAVIS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Plymouth, Grafton,New Hampshire"
JAMES THURSTON,https://www.ancestrylibrary.com/search/collections/5058/?name=JAMES_THURSTON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Exeter, Rockingham,New Hampshire"
WILLIAM HARRIS,https://www.ancestrylibrary.com/search/collections/5058/?name=WILLIAM_HARRIS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Dunstable, Hillsborough,New Hampshire"
JOHN MANSFIELD,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_MANSFIELD&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
STEPHEN CLEVERLY,https://www.ancestrylibrary.com/search/collections/5058/?name=STEPHEN_CLEVERLY&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
CHARLES TREADWELL,https://www.ancestrylibrary.com/search/collections/5058/?name=CHARLES_TREADWELL&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
AARON WELLS,https://www.ancestrylibrary.com/search/collections/5058/?name=AARON_WELLS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Goffstown, Hillsborough,New Hampshire"
JOHN WILSON,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_WILSON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Acworth, Cheshire,New Hampshire"
NATHANIEL MARSTON,https://www.ancestrylibrary.com/search/collections/5058/?name=NATHANIEL_MARSTON&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Greenland, Rockingham,New Hampshire"
BENJAMIN ROWE,https://www.ancestrylibrary.com/search/collections/5058/?name=BENJAMIN_ROWE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
SAMUEL BROOKS,https://www.ancestrylibrary.com/search/collections/5058/?name=SAMUEL_BROOKS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Haverhill, Grafton,New Hampshire"
RICHARD CHAMPNEY,https://www.ancestrylibrary.com/search/collections/5058/?name=RICHARD_CHAMPNEY&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
GEORGE FROST,https://www.ancestrylibrary.com/search/collections/5058/?name=GEORGE_FROST&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Newcastle, Rockingham,New Hampshire"
JACOB WALDEN,https://www.ancestrylibrary.com/search/collections/5058/?name=JACOB_WALDEN&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
BENJAMIN PETTINGILL,https://www.ancestrylibrary.com/search/collections/5058/?name=BENJAMIN_PETTINGILL&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
SAMUEL GILMAN,https://www.ancestrylibrary.com/search/collections/5058/?name=SAMUEL_GILMAN&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Exeter, Rockingham,New Hampshire"
TIMOTHY NEWELL,https://www.ancestrylibrary.com/search/collections/5058/?name=TIMOTHY_NEWELL&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
JACOB TREADWELL,https://www.ancestrylibrary.com/search/collections/5058/?name=JACOB_TREADWELL&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
GEORGE BRACKETT,https://www.ancestrylibrary.com/search/collections/5058/?name=GEORGE_BRACKETT&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Greenland, Rockingham,New Hampshire"
PHILLIPS WHITE,https://www.ancestrylibrary.com/search/collections/5058/?name=PHILLIPS_WHITE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"South Hampton, Rockingham,New Hampshire"
ROBERT HARRIS,https://www.ancestrylibrary.com/search/collections/5058/?name=ROBERT_HARRIS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Concord, Rockingham,New Hampshire"
JOSEPH PARSONS,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSEPH_PARSONS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Rye, Rockingham,New Hampshire"
ROBERT HUCKINS,https://www.ancestrylibrary.com/search/collections/5058/?name=ROBERT_HUCKINS&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Madbury, Strafford,New Hampshire"
JOSEPH FOGG,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSEPH_FOGG&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Pittsfield, Rockingham,New Hampshire"
JOSEPH WHIPPLE,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSEPH_WHIPPLE&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
THOMAS PALMER,https://www.ancestrylibrary.com/search/collections/5058/?name=THOMAS_PALMER&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Portsmouth, Rockingham,New Hampshire"
JOSIAH GILMAN,https://www.ancestrylibrary.com/search/collections/5058/?name=JOSIAH_GILMAN&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Exeter, Rockingham,New Hampshire"
JARED TRACY,https://www.ancestrylibrary.com/search/collections/5058/?name=JARED_TRACY&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
THOMAS CUSHING,https://www.ancestrylibrary.com/search/collections/5058/?name=THOMAS_CUSHING&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,
JOHN NOYES,https://www.ancestrylibrary.com/search/collections/5058/?name=JOHN_NOYES&event=1790&event_x=10-0-0&name_x=1_1&residence=_new+hampshire-usa_32&residence_x=_1-0,"Croydon, Cheshire,New Hampshire"
