name,url,county
ISSAC ROOSEVELT,https://www.ancestrylibrary.com/search/collections/3564/?name=ISSAC_ROOSEVELT&event=1777&event_x=10-0-0&name_x=1_1,
NICHOLAS QUACKENBOSS,https://www.ancestrylibrary.com/search/collections/3564/?name=NICHOLAS_QUACKENBOSS&event=1777&event_x=10-0-0&name_x=1_1,
THOMAS HENDERSON,https://www.ancestrylibrary.com/search/collections/3564/?name=THOMAS_HENDERSON&event=1777&event_x=10-0-0&name_x=1_1,
JANE VAN HOESEN,https://www.ancestrylibrary.com/search/collections/3564/?name=JANE_VAN_HOESEN&event=1777&event_x=10-0-0&name_x=1_1,
CALEB BECK,https://www.ancestrylibrary.com/search/collections/3564/?name=CALEB_BECK&event=1777&event_x=10-0-0&name_x=1_1,
PETER SCHUYLER,https://www.ancestrylibrary.com/search/collections/3564/?name=PETER_SCHUYLER&event=1777&event_x=10-0-0&name_x=1_1,
DIRCK TEN BROECK,https://www.ancestrylibrary.com/search/collections/3564/?name=DIRCK_TEN_BROECK&event=1777&event_x=10-0-0&name_x=1_1,
CORNELIUS BROWER,https://www.ancestrylibrary.com/search/collections/3564/?name=CORNELIUS_BROWER&event=1777&event_x=10-0-0&name_x=1_1,
CHARLES DICKENSON,https://www.ancestrylibrary.com/search/collections/3564/?name=CHARLES_DICKENSON&event=1777&event_x=10-0-0&name_x=1_1,
JOHN DE WANDELAER,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_DE_WANDELAER&event=1777&event_x=10-0-0&name_x=1_1,
ADAM STERNBERGH,https://www.ancestrylibrary.com/search/collections/3564/?name=ADAM_STERNBERGH&event=1777&event_x=10-0-0&name_x=1_1,
MARGARET LOW,https://www.ancestrylibrary.com/search/collections/3564/?name=MARGARET_LOW&event=1777&event_x=10-0-0&name_x=1_1,
GARRET LANSINGH,https://www.ancestrylibrary.com/search/collections/3564/?name=GARRET_LANSINGH&event=1777&event_x=10-0-0&name_x=1_1,
JOHN BROWN,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_BROWN&event=1777&event_x=10-0-0&name_x=1_1,
CORNELIUS WYNKOOP,https://www.ancestrylibrary.com/search/collections/3564/?name=CORNELIUS_WYNKOOP&event=1777&event_x=10-0-0&name_x=1_1,
WILLIAM DIETZ,https://www.ancestrylibrary.com/search/collections/3564/?name=WILLIAM_DIETZ&event=1777&event_x=10-0-0&name_x=1_1,
DAVID STERNBERGH,https://www.ancestrylibrary.com/search/collections/3564/?name=DAVID_STERNBERGH&event=1777&event_x=10-0-0&name_x=1_1,
JOHN DE PEYSTER,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_DE_PEYSTER&event=1777&event_x=10-0-0&name_x=1_1,
HENRY GLEN,https://www.ancestrylibrary.com/search/collections/3564/?name=HENRY_GLEN&event=1777&event_x=10-0-0&name_x=1_1,
JACOB TEN BROECK,https://www.ancestrylibrary.com/search/collections/3564/?name=JACOB_TEN_BROECK&event=1777&event_x=10-0-0&name_x=1_1,
JOHN TEN BROECK,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_TEN_BROECK&event=1777&event_x=10-0-0&name_x=1_1,
JOHN TAYLER,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_TAYLER&event=1777&event_x=10-0-0&name_x=1_1,
JOHN GREATON,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_GREATON&event=1777&event_x=10-0-0&name_x=1_1,
ABRAHAM A. LANSING,https://www.ancestrylibrary.com/search/collections/3564/?name=ABRAHAM_A._LANSING&event=1777&event_x=10-0-0&name_x=1_1,
JOHN ROSEBOOM,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_ROSEBOOM&event=1777&event_x=10-0-0&name_x=1_1,
PETER ELTING,https://www.ancestrylibrary.com/search/collections/3564/?name=PETER_ELTING&event=1777&event_x=10-0-0&name_x=1_1,
GOOSE VAN SCHAICK,https://www.ancestrylibrary.com/search/collections/3564/?name=GOOSE_VAN_SCHAICK&event=1777&event_x=10-0-0&name_x=1_1,
JOHN R. LIVINGSTON,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_R._LIVINGSTON&event=1777&event_x=10-0-0&name_x=1_1,
NICHOLAS HARKHEMER,https://www.ancestrylibrary.com/search/collections/3564/?name=NICHOLAS_HARKHEMER&event=1777&event_x=10-0-0&name_x=1_1,
LODEWYCK CRANE,https://www.ancestrylibrary.com/search/collections/3564/?name=LODEWYCK_CRANE&event=1777&event_x=10-0-0&name_x=1_1,
TOBIAS TEN EYCK,https://www.ancestrylibrary.com/search/collections/3564/?name=TOBIAS_TEN_EYCK&event=1777&event_x=10-0-0&name_x=1_1,
ROBERT R. LIVINGSTON,https://www.ancestrylibrary.com/search/collections/3564/?name=ROBERT_R._LIVINGSTON&event=1777&event_x=10-0-0&name_x=1_1,
SAMUEL STRINGER,https://www.ancestrylibrary.com/search/collections/3564/?name=SAMUEL_STRINGER&event=1777&event_x=10-0-0&name_x=1_1,
JOHN N. BLEECKER,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_N._BLEECKER&event=1777&event_x=10-0-0&name_x=1_1,
JOHANNIS PRUYN,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHANNIS_PRUYN&event=1777&event_x=10-0-0&name_x=1_1,
LEMUEL BRUSH,https://www.ancestrylibrary.com/search/collections/3564/?name=LEMUEL_BRUSH&event=1777&event_x=10-0-0&name_x=1_1,
ABRAHAM MYNDERSE,https://www.ancestrylibrary.com/search/collections/3564/?name=ABRAHAM_MYNDERSE&event=1777&event_x=10-0-0&name_x=1_1,
HARME GANSEVOORT,https://www.ancestrylibrary.com/search/collections/3564/?name=HARME_GANSEVOORT&event=1777&event_x=10-0-0&name_x=1_1,
JOHN SANDERS,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_SANDERS&event=1777&event_x=10-0-0&name_x=1_1,
WILLIAM MCCARTY,https://www.ancestrylibrary.com/search/collections/3564/?name=WILLIAM_MCCARTY&event=1777&event_x=10-0-0&name_x=1_1,
JACOBUS S. BRUYN,https://www.ancestrylibrary.com/search/collections/3564/?name=JACOBUS_S._BRUYN&event=1777&event_x=10-0-0&name_x=1_1,
JANE VAN HOESAN,https://www.ancestrylibrary.com/search/collections/3564/?name=JANE_VAN_HOESAN&event=1777&event_x=10-0-0&name_x=1_1,
LEONARD GANSEVOORT,https://www.ancestrylibrary.com/search/collections/3564/?name=LEONARD_GANSEVOORT&event=1777&event_x=10-0-0&name_x=1_1,
JAMES WALDRON,https://www.ancestrylibrary.com/search/collections/3564/?name=JAMES_WALDRON&event=1777&event_x=10-0-0&name_x=1_1,
JOHN M. BECKMAN,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_M._BECKMAN&event=1777&event_x=10-0-0&name_x=1_1,
MARY EGBERTS,https://www.ancestrylibrary.com/search/collections/3564/?name=MARY_EGBERTS&event=1777&event_x=10-0-0&name_x=1_1,
ROBERT RAY,https://www.ancestrylibrary.com/search/collections/3564/?name=ROBERT_RAY&event=1777&event_x=10-0-0&name_x=1_1,
JOHN SICKELS,https://www.ancestrylibrary.com/search/collections/3564/?name=JOHN_SICKELS&event=1777&event_x=10-0-0&name_x=1_1,
NICHOLAS C. BOGART,https://www.ancestrylibrary.com/search/collections/3564/?name=NICHOLAS_C._BOGART&event=1777&event_x=10-0-0&name_x=1_1,
NICHOLAS BROWER,https://www.ancestrylibrary.com/search/collections/3564/?name=NICHOLAS_BROWER&event=1777&event_x=10-0-0&name_x=1_1,
MARY GRAVERAT,https://www.ancestrylibrary.com/search/collections/3564/?name=MARY_GRAVERAT&event=1777&event_x=10-0-0&name_x=1_1,
HARME FORT,https://www.ancestrylibrary.com/search/collections/3564/?name=HARME_FORT&event=1777&event_x=10-0-0&name_x=1_1,
WESSEL VAN SCHAICK,https://www.ancestrylibrary.com/search/collections/3564/?name=WESSEL_VAN_SCHAICK&event=1777&event_x=10-0-0&name_x=1_1,
JAMES COAL,https://www.ancestrylibrary.com/search/collections/3564/?name=JAMES_COAL&event=1777&event_x=10-0-0&name_x=1_1,
ARIE LEGRANGE,https://www.ancestrylibrary.com/search/collections/3564/?name=ARIE_LEGRANGE&event=1777&event_x=10-0-0&name_x=1_1,
DIRK TEN BROECK,https://www.ancestrylibrary.com/search/collections/3564/?name=DIRK_TEN_BROECK&event=1777&event_x=10-0-0&name_x=1_1,
