year,name
1777,HENRY HUTTENSTEIN
1777,MICHAEL SHUBERT
1777,JONATHAN SARGEANT
1777,MICHEAL DUFFENDERFER
1777,MICHAEL DUFFENDERFER
1777,THOMAS BOND
1777,CHRISTOPHER LUDWICK
1777,DANIEL FRANCIS
1777,JOSEPH SIMMOM
1777,THOMAS ASHTON
1777,JOSEPH RIGBY
1777,ADAM GUISE
1777,TIMOTHY MATLACK
1777,CHRIS LOUR
1777,CHRISTIAN LOUR
1777,ANDREW BOWSMAN
1777,CHRIS LOWR
1777,GEORGE SEITZ
1777,CHRISTOPHER PECKEN
1777,JOSEPH GREIR
1777,ALM WAYNE
1777,CHRIS PUKIN
1777,HUGH HENRY
1777,EDWARD KEASBY
1777,ANDREW SINIXON
1777,RACHEL CLARKE
1777,ROBERT WHITEHILL
1777,ANN DUNCAS
1777,ROBERT AITKEN
1777,MARGARET CLYMER
1777,MICHEAL FORDNEY
1777,CHRISTIAN PETRIE
1777,ROBERT AITHER
1777,ETHER MEYERS
1777,JOSEPH GREER
1777,ANN DUNCAN
1777,WHITE MATLACK
1777,ELTHER MYERS
1777,JAMES BOYD
1777,MATTHEW IRWIN
1777,ADAM GUIRE
1777,MATTHEW GROVINE
1777,JACOB FISHEL
1777,JACOB FRESHER
1777,CASPER SHAFFNER
1777,CARPER SHAFFNER
1777,MARY RUD
1777,NATHANIEL CARTER
1777,HOLTON JOHNSON
1777,REBECCA ASH
1777,JOHN MORTON
1777,THOMAS MONTGOMERY
1777,JAMES HUNTER
1777,JOSIAH HEEVES
1777,CORNELEA BRIDGES
1777,JEREMIAH BRIDGES
1777,ROBERT BROLGAS
1777,ALEX M DONOLL
1777,ALEXANDER MC BOWELL
1777,WILLIAM HALL
1777,MARY ABRAHAM CHARLES
1777,THOMAS MASON
1777,RICH TREAH
1777,WILLIAM HENDEL
1777,JACOB DUCHE
1777,CASPER GEYER
1777,JAMES SRPATT
1777,DANIEL ROBERDEAW
1777,THOMAS MARGER
1777,DANIEL JOY
1777,THOMAS DYER
1777,GEU WALKER
1777,THOMAS WHARTON
1777,ANTHONY HOCKER
1777,WILL PEATEA SMITH
1777,DEMING OLIVER
1777,ARCHIBALD MERCER
1777,ARCHIBALD MEREER
1777,JOHN P SCHENK
1777,DANIEL ROBIDEAU
1777,JAMES SCARLE
1777,PRIOR JOY
1777,GERARDUS CLARKSON
1777,ABRAHAM WILSON
1777,NICOLAS GARNSOM
1777,CHRIS GROVER
1777,ADAM WITMAN
1777,SAMUEL GRIFFIN
1777,JAMES SEARLE
1777,ELIZABETH BECKMAN
1777,WILLIAM OLIPHANT
1777,JOHN ORD
1777,NATHANIEL JHUED
1777,CHRISTIAN GROVER
1777,THOMAS TRUXTON
1777,ALEXANDER HENDERSON
1777,THOMAS GRANT
1777,PRIOR & JOY
1777,JAMES WILSON
1777,CHARLES LYON
1777,JOHN BARNHILL
1777,PAUL COE
1777,JOHN DUPEEY
1777,SOCIETY FOR RELIEF OF POOR MASTERS OF SHIPS  WIDOWS AND CHILDREN
1777,PAUL COX
1777,CHA LYON
1777,ROBERT MORRIS AND JOHN SIMON EXECUTOR TO THE ESTATE OF R GERRATY
1777,VALENTINE HANDLY
1777,WILLIAM MOULDER
1777,ANTHONY STOCKER
1777,JUSTUS NEW JERSEY COLLEGE
1777,SAMUEL MIFFIN
1777,JO BONFIELD
1777,THOMAS MIFFLIN
1777,JOHN OID
1777,JOHN BONFIELD
1777,ROBERT MORRIS AND JOHN SIMON EXECUTOR TO THE ESTATE OF
1777,JACOB WINEY
1777,EX OF THE ESTATE OF R GERRATY
1777,JOSEPH DEAN
1777,ROBERT BASS
1777,CHRIS MARHALE
1777,MARGARET GRAY
1777,ROBERT HARDEE
1777,ROBERT HARSHEY
1777,RECHARD WALKER
1777,EST TO THE ESTATE OF...
1777,PHILLIP BOEHM
1777,STIPHEN JONES
1777,LEWIS MORRIS
1777,LEAVIN MORRIS
1777,FRED ANTIS
1777,FREDERICK ANTIS
1777,DAVID JACKSON
1777,WILLIAM HOLLENTIN
1777,ISAAC ROUSH AND MARY UTREY  EXECUTOR TO THE ESTATE OF JACOB CARVER DECEASED
1777,JOSEPH WARNER
1777,DAVID CHAMBERS
1777,CYNTHIA CASH
1777,REBECCA THOMPSON
1777,HENRY WYNKOOP
1777,HENRY MOTTENSTERN
1777,MARVUS YOUNG
1777,CHRISTOPHER MASJHAEE
1777,RICHARD GIVES
1777,NECHEMIAH CARTER
1777,RICHARDS GIBBS
1777,WILLIAM HOLLINSCEE
1777,JACOB BRUSH & MARY WROOP TO THE EST OF JACOB CARVER DED
1777,HELMER DUBOIS
1777,GERARDUS WINTHROP
1777,WILLIAM HUTTENSTEIN
1777,MASEUS YOUNG
1777,GEORGE MC ABOY
1777,BENEZET & BACKMAN
1777,JOHNY DENNISON
1777,JOHN STEEL
1777,ELIZABETH GROSS
1777,GEORGE MC ROY
1777,JABEZ SCARLE
1777,MARCUS YOUNG
1777,JOHN SLUT
1777,JABEZ PERKINS
1777,BENJAMIN BARTHOLOMEW
1777,JACOBUS VAN ZANT
1777,JAMES CALDWELL
1777,SAMUEL ASHMEAD
1777,JOHN MORTON EX OF SAM MORTON
1777,ELEZABETH LAWRENCE
1777,JACOBUS VAN ZAND
1777,CHRISTIAN BETZ
1777,MARGARET CAN
1777,CHRISTIAN BEN
1777,EBENEZER KINNERSLEY
1777,ENOS HOOBSEY
1777,ENOS KELSEY
1777,STACY HEPBURN
1777,SACY HEPBURN
1777,ANDREW DENNISON
1777,WILLIAM WIKOFF
1777,THOMAS BONANE
1777,AMY HUNTER
1777,SARAH RAMSEY
1777,JOHN WILLCOCK
1777,JAMES BRIDDEN
1777,MARY ELMER
1777,ISAAC MICKLE
1777,ISAAC COX
1777,JOHN WILCOCKS
1777,CHARLES PETTIT
1777,CHA PETTIT
1777,PETER RENANDETT
1777,SARAH CHEESEMAN
1777,THOMAS LAWRENCE
1777,ADRIAN RENAUDILL
1777,PHILIP BOCHM
1777,ARTHUR LEPUS
1777,SIMON VANARTSDALIN
1777,COM CORNELL
1777,ISAAC CORE
1777,THOMAS KELSO
1777,HANNAH BILES
1777,THOMAS KILSO
1777,THOMAS RELSO
1777,ESTHER TYSON
1777,FREDERICK SHINKLE
1777,ELIZABETH DISHLU
1777,ISAAC ROUSH
1777,ELIZABETH BRADLEY
1777,JAS SPRAAH
1777,ELIZABETH DISHLIN
1777,ELIZABETH DESKTER
1777,W P SMITH
1777,WILLIAM ECKHARD
1777,UNREADABLE
1777,CASPER SINGES
1777,FRED ANTOR
1777,MARTHA FRENCH
1777,ELIZABETH ROBERTDEAU
1777,ANN CLYMER
1777,JACOBUS VAND ZANT
1777,THOMAS WILLIAMS
1777,ROBERT M LOUGLIN
1777,ROBERT MACKEY
1777,NATHANIEL DONNELL
1777,NATH DONNELL FOR THE ESTATE OG GORGE CUNTINGHAM FOR ANNA DAV
1777,MARGARET GRANH
1777,JAMES SPROOK
1777,THOMAS SALTER
1777,MARGARETT GRANT HERSELF AND HEIRS
1777,MARY HOPKINSON
1777,MARY CASHSON
1777,EBENEZER KENNERSLEY
1777,JOHN WHARTON
1777,ALICE VANASDALLAN
1777,JABEZ CHAMPNEY
1777,JAMES CHAMPNEY
1777,HEN KREUSER
1777,MOROR BLOOMFIELD
1777,SHARP DELANY
1777,ESTATE OF GEORGE CUNNINGHAM FOR ANNA HIS DAUGHTER
1777,JOHN CORNMAN
1777,LUDWIG LOWMAN
1777,MATTHEW JACKSON
1777,MATTHEUS JACSON
1777,GRO SEHLOPER
1777,JEDIDIAH SNOWDEN
1777,WILLIAM BENITT
1777,THOMAS LAWRENCE FOR THE EST OF THOMAS LAWRENCE DEC
1777,WILLIAM HODGE
1777,JEREMIAH HALSEY AND SARAH GASTON FOR THE ESTATE OF GASTON DEC
1777,TRUSTEES OF THE COLLEGE OF N GERSEY
1777,JAMES STONEWELL
1777,ECR OF JN GASTON
1777,JABEZ MAXWELL
1777,ANTHONY BULTER
1777,ELIZABETH LAWRENCE
1777,ANDREW HODGE
1777,BENJAMIN BRITTON
1777,NATHANIEL SPARHAWK
1777,DONAS MONTGEMERY
1777,JACOB BARGE
1777,MARY MC HAAIN
1777,ROBERT LOTTER
1777,STEPHEN JONER
1777,MARY MCHOWNE
1777,THOMAS DAVIS
1777,MICAH FERDNEY
1777,JONATHAN EBNER
1777,JAMES WHARTON
1777,CASPAR SNAVELY
1777,CASPER SNAVELY
1777,SAMUEL JUDAH
1777,ANTHONY STROTHER
1778,PETER AND ISAAC WIKOFF
1778,JOSEPH JACKET AND ANTHANY JACKET TRUSTEES OF PRESBYTERIAN CONGREGATION N TOWN
1778,GERRARD WILLIAM BUCKMAN
1778,JAMES HARRYHILL
1778,PETER SCHINK
1778,JOHN ALDEN
1778,SAMUEL STEWART
1778,JOHN PATTERSON
1778,GERRARD W BUKMAN
1778,JAMES POTTER
1778,JOHN OLDEN
1778,JESSE DELAMATER
1778,JOHANNES STRYKER
1778,MARY BROWN
1778,WILLIAM JONES
1778,PETER SCHENK
1778,EPHRAIM BLAINE
1778,MELEHER HILL
1778,BRYAR MCCLUNE
1778,AZARIAH DUNHAM
1778,NATHANIEL COOKE
1778,THOMAS MYERS
1778,EVARETT GRAFF
1778,WILLIAM DENNY
1778,GEORGE HOFF
1778,JOHN GULDIN
1778,ALEXANDER JOHNSON
1778,JOHN COX
1778,DAVID DUNWODDIE
1778,ALEXANDER POE
1778,CATHARINE
1778,GEORGE TAYLOR
1778,GEORGE JAYLER
1778,JAMES DICKSON
