State,Year,Month,Day,Title 1,First Name 1,Last Name 1,Title 2,First Name 2,Last Name 2,Face Value,Specie Value
1,1778,3,13.0,Col,Joshua,Wentworth,,,,200,108.2778
1,1777,9,2.0,,Charles,Treadwell,,,,200,199.3778
1,1777,9,10.0,,Stephen,Cleverly,,,,200,194.5111
1,1777,9,13.0,,David,Griffith,,,,200,192.7111
1,1777,9,15.0,,John,Mansfield,,,,200,191.5222
1,1777,9,22.0,Col,Supply,Clap,,,,200,187.4222
1,1777,9,22.0,Doc,Penticost,Blackington,,,,200,187.4222
1,1777,9,23.0,,William,Harris,,,,200,186.8444
1,1777,9,24.0,Esq,Theodore,Atkinson,,,,200,186.2667
1,1777,9,25.0,,James,Thurston,,,,200,185.6889
1,1777,9,25.0,,Moses,Davis,,,,200,185.6889
1,1777,9,25.0,,Moses,Davis,,,,200,185.6889
1,1777,9,27.0,Cap,Larkin,Thorndike,,,,200,184.5444
1,1777,9,30.0,,Benjamin,Hayes,,,,200,182.8444
1,1777,9,30.0,,Benjamin,Hayes,,,,200,182.8444
1,1777,9,30.0,,Benjamin,Hayes,,,,200,182.8444
1,1777,10,1.0,,Ebenzer,Storer,,,,200,182.2778
1,1777,10,6.0,Jun,Abel,Sawyer,,,,200,179.4778
1,1777,10,6.0,Doc,Hall,Jackson,,,,200,179.4778
1,1777,10,7.0,,Kichard,Champney,,,,200,178.9333
1,1777,10,7.0,,William,Appleton,,,,200,178.9333
1,1777,10,13.0,,John Ward,Gilman,,,,200,175.6333
1,1777,10,13.0,,John Ward,Gilman,,,,200,175.6333
1,1777,10,18.0,Jun,Abel,Sawyer,,,,200,172.9444
1,1777,10,18.0,Jun,Abel,Sawyer,,,,200,172.9444
1,1777,10,18.0,Jun,Abel,Sawyer,,,,200,172.9444
1,1777,10,25.0,,Benjamin,Pettingill,,,,200,169.2444
1,1777,10,27.0,,Jacob,Walden,,,,200,168.2
1,1777,10,27.0,,Jacob,Walden,,,,200,168.2
1,1777,10,27.0,,Jacob,Walden,,,,200,168.2
1,1777,10,30.0,Hon,Matthew,Thornton,,,,200,166.6444
1,1777,11,5.0,Doc,Edmund,Sawyer,,,,200,163.5778
1,1777,11,6.0,Esq Hon,George,Frost,,,,200,163.0778
1,1777,11,13.0,,Richard,Champney,,,,200,159.5889
1,1777,11,19.0,,Sarah,Hicks,,,,200,156.6556
1,1777,11,21.0,,John Ward,Gilman,,,,200,155.6889
1,1777,11,24.0,Jun,Abel,Sawyer,,,,200,154.2444
1,1777,11,25.0,Esq,Theodore,Atkinson,,,,200,153.7778
1,1777,11,26.0,Rev,James,Pike,,,,200,153.3
1,1777,11,27.0,Jun,Samuel,Brooks,,,,200,152.8222
1,1777,11,27.0,Esq,John,Haven,,,,200,152.8222
1,1777,11,28.0,Doc Jun,Benjamin,Rowe,,,,200,152.3556
1,1777,12,5.0,,Aaron,Wells,,,,200,149.0889
1,1777,12,10.0,Jun,Samuel,White,,,,200,146.8
1,1777,12,15.0,,Nathaniel,Marston,,,,200,144.5556
1,1777,12,16.0,,Nathaniel,Noyes,,,,200,144.1111
1,1777,12,16.0,,John,Wilson,,,,200,144.1111
1,1777,12,16.0,,Benjamin,Cram,,,,200,144.1111
1,1777,12,19.0,,Aaron,Wells,,,,200,142.7778
1,1777,12,19.0,Esq,John,Haven,,,,200,142.7778
1,1777,12,19.0,Esq,John,Haven,,,,200,142.7778
1,1777,12,19.0,Esq,John,Haven,,,,200,142.7778
1,1777,12,19.0,Esq,John,Haven,,,,200,142.7778
1,1777,12,22.0,Esq,Nathaniel,Folsom,,,,200,141.4556
1,1777,12,25.0,Esq,Timothy,Walker,,,,200,140.1556
1,1777,12,27.0,Col,Nathaniel,Peabody,,,,200,139.2889
1,1777,12,27.0,Col,Nathaniel,Peabody,,,,200,139.2889
1,1778,1,2.0,Hon,Josiah,Bartlett,,,,200,136.7222
1,1778,1,2.0,Hon,Josiah,Bartlett,,,,200,136.7222
1,1778,1,8.0,Col,Benjamin,Bellow,,,,200,134.2111
1,1778,1,9.0,Cap,Daniel,Emerson,,,,200,133.8
1,1778,1,9.0,Cap,Daniel,Emerson,,,,200,133.8
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,14.0,Esq,William,Gardner,,,,200,131.7444
1,1778,1,17.0,Esq,John,Moffatt,,,,200,130.5333
1,1778,1,31.0,,William,Gardner,,,,200,125.0
1,1778,1,31.0,,William,Gardner,,,,200,125.0
1,1778,1,31.0,,William,Gardner,,,,200,125.0
1,1778,2,5.0,Jun,Samuel,Brooks,,,,200,123.0778
1,1778,2,6.0,,Henry,French,,,,200,122.7
1,1778,2,9.0,Col,Samuel,Gilman,,,,200,121.5667
1,1778,2,18.0,Rev,James,Pike,,,,200,118.2333
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,19.0,Cap,John,Evans,,,,200,117.8667
1,1778,2,20.0,Rev,Avery,Hall,,,,200,117.5
1,1778,2,25.0,,Benjamin,Hayes,,,,200,115.7
1,1778,2,25.0,,Benjamin,Hayes,,,,200,115.7
1,1778,2,27.0,Esq,Enoch,Poor,,,,200,114.9889
1,1778,3,2.0,Col,David,Gilman,,,,200,113.7667
1,1778,3,3.0,,Samuel,Dodge,,,,200,113.2556
1,1778,3,3.0,,Samuel,Dodge,,,,200,113.2556
1,1778,3,12.0,,Jotham,Blanchard,,,,200,108.7667
1,1778,3,12.0,Col,Benjamin,Bellows,,,,200,107.7667
1,1778,3,13.0,Col,Joshua,Wentworth,,,,200,108.2778
1,1778,3,16.0,Esq,Daniel,Gilman,,,,200,106.8333
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,18.0,Esq,Joshua,Wentworth,,,,200,105.8778
1,1778,3,19.0,Cap,John,Blunt,,,,200,105.4
1,1778,3,19.0,Cap,John,Blunt,,,,200,105.4
1,1778,3,20.0,Cap,John,Blunt,,,,200,104.9333
1,1778,3,20.0,Cap,John,Blunt,,,,200,104.9333
1,1778,3,23.0,,Samuel,Sawyer,,,,200,103.5222
1,1778,3,23.0,,Samuel,Sawyer,,,,200,103.5222
1,1778,3,26.0,Esq Hon,Phillips,White,,,,200,102.1333
1,1778,4,3.0,,Elizabeth,Emery,,,,200,98.53333
1,1778,4,8.0,,Caleb,Noyes,,,,200,96.34444
1,1778,4,17.0,,Aaron,Wells,,,,200,92.52222
1,1778,5,6.0,,Thomas,Pickard,,,,200,84.95556
1,1778,5,6.0,,Thomas,Pickard,,,,200,84.95556
1,1778,5,6.0,,Thomas,Pickard,,,,200,84.95556
1,1778,5,6.0,,Thomas,Pickard,,,,200,84.95556
1,1778,5,6.0,,Thomas,Pickard,,,,200,84.95556
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,7.0,Hon,John,Langdon,,,,200,84.57778
1,1778,5,9.0,,Thomas,Pickard,,,,200,83.81111
1,1778,5,9.0,,Thomas,Pickard,,,,200,83.81111
1,1778,5,11.0,Doc,Silas,Hedges,,,,200,83.06667
1,1778,5,11.0,Doc,Silas,Hedges,,,,200,83.06667
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,13.0,Esq,Joshua,Wentworth,,,,200,82.32222
1,1778,5,16.0,,Benjamin,Dearborn,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
1,1778,5,16.0,Esq,Joshua,Wentworth,,,,200,81.22222
