,Unnamed: 0,index,letter,date of the certificate | month,date of the certificate | day,date of the certificate | year,to whom due | first name,to whom due | last name,to whom due | title,time when the debt became due | month,time when the debt became due | day,time when the debt became due | year,amount | dollars,amount | 90th,line strike through? | yes?,line strike through? | note,notes,state,org_file,org_index,to whom due | title.1,to whom due | first name.1,to whom due | last name.1,amount | 10th,exchange,amount in specie | dollars,amount in specie | cents,amount | 8th,delivered | month,delivered | day,delivered | year,total dollars | notes,total dollars | notes.1,full name,matches
14308,14308,15993.0,,,,,Gad,Aldeman,,,,,100.0,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,697.0,,,,,,,,,,,,,,Gad Aldeman,"[('Gad Alderman', 95.65217391304348, 14319)]"
14319,14319,16020.0,,,,,Gad,Alderman,,,,,67.57,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,724.0,,,,,,,,,,,,,,Gad Alderman,"[('Gad Aldeman', 95.65217391304348, 14308)]"
14431,14431,16400.0,,,,,Thomas,Allen,,,,,9.05,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1104.0,,,,,,,,,,,,,,Thomas Allen,"[('Thomas Allyn', 91.66666666666666, 68950)]"
14480,14480,16508.0,,,,,John,Allyn,Jun,,,,218.0,0,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1212.0,,,,,,,,,,,,,,John Allyn,"[('John Allen', 90.0, 51316)]"
14510,14510,16562.0,,,,,Thomas,Alyn,,,,,10.72,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1266.0,,,,,,,,,,,,,,Thomas Alyn,"[('Thomas Allyn', 95.65217391304348, 68950)]"
14563,14563,16691.0,,,,,John,Ammitt,Jun,,,,61.0,0,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1395.0,,,,,,,,,,,,,,John Ammitt,"[('John Armmit', 90.9090909090909, 14750)]"
14654,14654,16987.0,,,,,Elisha,Andrus,Jun,,,,88.0,0,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1691.0,,,,,,,,,,,,,,Elisha Andrus,"[('Elisha Andruss', 96.2962962962963, 14660)]"
14655,14655,16988.0,,,,,John,Andrus,,,,,120.0,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1692.0,,,,,,,,,,,,,,John Andrus,"[('John Andruss', 95.65217391304348, 14662)]"
14656,14656,16990.0,,,,,Josiah,Andrus,Jun,,,,88.0,0,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1694.0,,,,,,,,,,,,,,Josiah Andrus,"[('Josiah Andruss', 96.2962962962963, 14663)]"
14660,14660,16996.0,,,,,Elisha,Andruss,,,,,80.0,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1700.0,,,,,,,,,,,,,,Elisha Andruss,"[('Elisha Andrus', 96.2962962962963, 14654)]"
14662,14662,16999.0,,,,,John,Andruss,Jun,,,,80.0,0,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1703.0,,,,,,,,,,,,,,John Andruss,"[('John Andrus', 95.65217391304348, 14655)]"
14663,14663,17000.0,,,,,Josiah,Andruss,,,,,80.0,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1704.0,,,,,,,,,,,,,,Josiah Andruss,"[('Josiah Andrus', 96.2962962962963, 14656)]"
14750,14750,17173.0,,,,,John,Armmit,,,,,80.0,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,1877.0,,,,,,,,,,,,,,John Armmit,"[('John Ammitt', 90.9090909090909, 14563)]"
14812,14812,17360.0,,,,,Joshua,Asham,,,,,82.66,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,2064.0,,,,,,,,,,,,,,Joshua Asham,"[('Joshua Isham', 91.66666666666666, 31605)]"
14875,14875,17495.0,,,,,David,Atkins,Jun,,,,221.0,0,,,,ct,Pierce_Certs_cleaned_2019.xlsx,2199.0,,,,,,,,,,,,,,David Atkins,"[('Divid Atkins', 91.66666666666666, 14876)]"
14876,14876,17496.0,,,,,Divid,Atkins,,,,,87.8,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,2200.0,,,,,,,,,,,,,,Divid Atkins,"[('David Atkins', 91.66666666666666, 14875)]"
14971,14971,17739.0,,,,,John,Ayer,,,,,57.3,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,2443.0,,,,,,,,,,,,,,John Ayer,"[('John Ayers', 94.73684210526316, 70525)]"
15038,15038,17859.0,,,,,Elijah,Back,,,,,13.3,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,2563.0,,,,,,,,,,,,,,Elijah Back,"[('Elijah Backus', 91.66666666666666, 70145)]"
15167,15167,18249.0,,,,,William Jr.,Bailey,,,,,12.31,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,2953.0,,,,,,,,,,,,,,William Jr. Bailey,"[('William Bailey', 95.0, 70298)]"
15406,15406,18875.0,,,,,Amariah,Barber,,,,,72.27,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,3579.0,,,,,,,,,,,,,,Amariah Barber,"[('Amaziah Barber', 92.85714285714286, 15407)]"
15407,15407,18876.0,,,,,Amaziah,Barber,,,,,45.26,,,,,ct,Pierce_Certs_cleaned_2019.xlsx,3580.0,,,,,,,,,,,,,,Amaziah Barber,"[('Amariah Barber', 92.85714285714286, 15406)]"
