,Unnamed: 0,index,letter,date of the certificate | month,date of the certificate | day,date of the certificate | year,to whom due | first name,to whom due | last name,to whom due | title,time when the debt became due | month,time when the debt became due | day,time when the debt became due | year,amount | dollars,amount | 90th,line strike through? | yes?,line strike through? | note,notes,state,org_file,org_index,to whom due | title.1,to whom due | first name.1,to whom due | last name.1,amount | 10th,exchange,amount in specie | dollars,amount in specie | cents,amount | 8th,delivered | month,delivered | day,delivered | year,total dollars | notes,total dollars | notes.1,full name,matches
14229,14229,15841.0,,,,,Gideon,Aiken,Jun,,,,48.0,0,,,,nc,Pierce_Certs_cleaned_2019.xlsx,545.0,,,,,,,,,,,,,,Gideon Aiken,"[('Gideon Aikens', 96.0, 14231)]"
14231,14231,15844.0,,,,,Gideon,Aikens,,,,,80.0,,,,,nc,Pierce_Certs_cleaned_2019.xlsx,548.0,,,,,,,,,,,,,,Gideon Aikens,"[('Gideon Aiken', 96.0, 14229)]"
14600,14600,16853.0,,,,,Thomas,Anderson,Jun,,,,5074.0,0,,,,nc,Pierce_Certs_cleaned_2019.xlsx,1557.0,,,,,,,,,,,,,,Thomas Anderson,"[('Thomas Thomas', 95.0, 46990)]"
14665,14665,17002.0,,,,,Thomas,Angel,,,,,76.6,,,,,nc,Pierce_Certs_cleaned_2019.xlsx,1706.0,,,,,,,,,,,,,,Thomas Angel,"[('Thomas Thomas', 95.0, 46990)]"
14772,14772,17273.0,,,,,Thomas,Armstrong,Jun,,,,2866.0,0,,,,nc,Pierce_Certs_cleaned_2019.xlsx,1977.0,,,,,,,,,,,,,,Thomas Armstrong,"[('Thomas Thomas', 95.0, 46990)]"
14816,14816,17366.0,,,,,Charles,Ashe,,,,,76.6,,,,,nc,Pierce_Certs_cleaned_2019.xlsx,2070.0,,,,,,,,,,,,,,Charles Ashe,"[('Charles Ashue', 96.0, 14840)]"
14840,14840,17424.0,,,,,Charles,Ashue,,,,,25.5,,,,,nc,Pierce_Certs_cleaned_2019.xlsx,2128.0,,,,,,,,,,,,,,Charles Ashue,"[('Charles Ashe', 96.0, 14816)]"
14873,14873,17484.0,,,,,Benjamin,Atkins,,,,,115.0,,,,,nc,Pierce_Certs_cleaned_2019.xlsx,2188.0,,,,,,,,,,,,,,Benjamin Atkins,"[('Benjamin Watkins', 90.32258064516128, 49024)]"
15076,15076,17954.0,,,,,Peter,Bacot,Jun,,,,392.0,0,,,,nc,Pierce_Certs_cleaned_2019.xlsx,2658.0,,,,,,,,,,,,,,Peter Bacot,"[('Peter Bauot', 90.9090909090909, 15962)]"
15149,15149,18183.0,,,,,Joseph,Bailey,Jun,,,,493.0,0,,,,nc,Pierce_Certs_cleaned_2019.xlsx,2887.0,,,,,,,,,,,,,,Joseph Bailey,"[('Joseph Baxley', 92.3076923076923, 15972)]"
