original_row,raw_name,state,Face Value,Specie Value
63,WILLIAM GARDNER,NH,200,131.7444
64,WILLIAM GARDNER,NH,200,131.7444
65,WILLIAM GARDNER,NH,200,131.7444
66,WILLIAM GARDNER,NH,200,131.7444
67,WILLIAM GARDNER,NH,200,131.7444
68,WILLIAM GARDNER,NH,200,131.7444
69,WILLIAM GARDNER,NH,200,131.7444
70,WILLIAM GARDNER,NH,200,131.7444
71,WILLIAM GARDNER,NH,200,131.7444
72,WILLIAM GARDNER,NH,200,131.7444
73,WILLIAM GARDNER,NH,200,131.7444
75,WILLIAM GARDNER,NH,200,125.0
76,WILLIAM GARDNER,NH,200,125.0
77,WILLIAM GARDNER,NH,200,125.0
201,WILLIAM GARDNER,NH,200,72.9222
202,WILLIAM GARDNER,NH,200,72.9222
203,WILLIAM GARDNER,NH,200,72.9222
204,WILLIAM GARDNER,NH,200,72.9222
205,WILLIAM GARDNER,NH,200,72.9222
206,WILLIAM GARDNER,NH,200,72.9222
207,WILLIAM GARDNER,NH,200,72.9222
208,WILLIAM GARDNER,NH,200,72.9222
209,WILLIAM GARDNER,NH,200,72.9222
210,WILLIAM GARDNER,NH,200,72.9222
211,WILLIAM GARDNER,NH,200,72.9222
212,WILLIAM GARDNER,NH,200,72.9222
213,WILLIAM GARDNER,NH,200,72.9222
214,WILLIAM GARDNER,NH,200,72.9222
215,WILLIAM GARDNER,NH,200,72.9222
216,WILLIAM GARDNER,NH,200,72.9222
217,WILLIAM GARDNER,NH,200,72.9222
218,WILLIAM GARDNER,NH,200,72.9222
220,WILLIAM GARDNER,NH,200,72.9222
221,WILLIAM GARDNER,NH,200,72.9222
253,WILLIAM GARDNER,NH,200,54.2111
255,WILLIAM GARDNER,NH,200,54.2111
680,WILLIAM GARDNER,NH,300,197.6222
684,WILLIAM GARDNER,NH,300,187.5111
750,WILLIAM GARDNER,NH,300,109.3778
751,WILLIAM GARDNER,NH,300,109.3778
752,WILLIAM GARDNER,NH,300,109.3778
753,WILLIAM GARDNER,NH,300,109.3778
754,WILLIAM GARDNER,NH,300,109.3778
755,WILLIAM GARDNER,NH,300,109.3778
756,WILLIAM GARDNER,NH,300,109.3778
757,WILLIAM GARDNER,NH,300,109.3778
758,WILLIAM GARDNER,NH,300,109.3778
759,WILLIAM GARDNER,NH,300,109.3778
760,WILLIAM GARDNER,NH,300,109.3778
761,WILLIAM GARDNER,NH,300,109.3778
762,WILLIAM GARDNER,NH,300,109.3778
763,WILLIAM GARDNER,NH,300,109.3778
764,WILLIAM GARDNER,NH,300,109.3778
1097,WILLIAM GARDNER,NH,400,250.0111
1227,WILLIAM GARDNER,NH,400,145.8444
1228,WILLIAM GARDNER,NH,400,145.8444
1229,WILLIAM GARDNER,NH,400,145.8444
1230,WILLIAM GARDNER,NH,400,145.8444
1231,WILLIAM GARDNER,NH,400,145.8444
1232,WILLIAM GARDNER,NH,400,145.8444
