row_id,org_file,org_index,state,date of the certificate | year,date of the certificate | month,date of the certificate | day,to whom due | title,to whom due | first name,to whom due | last name,to whom due | title.1,to whom due | first name.1,to whom due | last name.1,amount | dollars,amount in specie | dollars,letter,time when the debt became due | month,time when the debt became due | day,time when the debt became due | year,amount | 90th,line strike through? | yes?,line strike through? | note,notes,amount | 10th,exchange,amount in specie | cents,amount | 8th,delivered | month,delivered | day,delivered | year,total dollars | notes,total dollars | notes.1,organization?,final_agg_debt index,deceased?,full name,matches
0,Pierce_Certs_cleaned_2019.xlsx,9033 | 9034 | 9035,ga,,,,,David,Braydie,,,,2735.62,,,,,,0.0,,,,,,,,,,,,,False,9800 | 9801 | 9802,False,David Braydie,"[('David Brydie', np.float32(96.0), 6)]"
1,Pierce_Certs_cleaned_2019.xlsx,9687 | 9688 | 9689,ga,,,,,Celeren,Brossard,,,,2360.0,,,,,,0.0,,,,,,,,,,,,,False,10454 | 10455 | 10456,False,Celeren Brossard,"[('Celerin Brossard', np.float32(93.75), 5)]"
2,Pierce_Certs_cleaned_2019.xlsx,9690 | 9691 | 9692,ga,,,,,Celerin,Brossard,,,,1847.9,,,,,,0.0,,,,,,,,,,,,,False,10457 | 10458 | 10459,False,Celerin Brossard,"[('Celeren Brossard', np.float32(93.75), 4)]"
3,Pierce_Certs_cleaned_2019.xlsx,10647,ga,,,,,David,Brydie,,,,351.0,,,,,,0.0,,,,,,,,,,,,,False,11414,False,David Brydie,"[('David Braydie', np.float32(96.0), 3)]"
